Country,Year,COW,CIRI,SPEECHLCK,ASSOCIATIONLCK,ASSEMBLYLCK,PRESSLCK,RELIGIONLCK,STRIKELCK,HABEASLCK,PUBLICTRIALLCK,FAIRTRIALLCK,TORTURELCK
Paraguay,1979,150,509,1,1,1,0,1,1,2,0,0,2
Peru,1979,135,512,1,1,1,1,2,0,1,0,0,0
Philippines,1979,840,515,.,.,.,.,.,.,.,.,.,.
Poland,1979,290,515,0,0,0,0,0,0,0,1,0,0
Portugal,1979,235,521,1,1,1,1,1,1,1,1,0,1
Qatar,1979,694,524,0,0,0,1,0,0,0,2,0,0
Romania,1979,360,527,1,1,1,1,1,0,0,0,0,0
Russia,1979,365,530,0,0,0,0,1,0,0,1,0,0
Rwanda,1979,517,533,1,1,1,0,1,1,0,1,0,0
St. Lucia,1979,59,539,1,1,1,0,1,0,1,1,1,1
St. Vincent & Grenadines,1979,57,542,1,1,1,0,1,0,1,1,1,1
Samoa,1979,990,545,1,1,1,0,1,0,1,1,2,2
Sao Tome & Principe,1979,403,551,1,1,1,1,1,1,1,1,0,1
Saudi Arabia,1979,670,554,0,0,0,0,0,0,0,0,0,0
Senegal,1979,433,557,1,1,0,0,1,1,0,0,0,0
Seychelles,1979,591,566,0,0,0,0,0,0,0,0,0,0
Sierra Leone,1979,451,569,1,1,1,0,1,0,1,1,1,1
Singapore,1979,830,572,1,1,1,0,1,0,0,0,0,0
Solomon Islands,1979,940,581,1,1,1,0,1,0,1,1,1,1
Somalia,1979,520,584,1,0,1,1,1,0,1,0,0,2
South Africa,1979,560,587,0,0,0,0,0,0,0,0,0,0
Spain,1979,230,593,1,1,1,0,1,1,1,1,0,1
Sri Lanka,1979,780,596,1,1,1,1,1,0,1,1,0,0
Sudan,1979,625,599,1,1,1,1,1,0,1,1,1,1
Suriname,1979,115,602,.,.,.,.,.,.,.,.,.,.
Swaziland,1979,572,605,0,0,0,0,0,0,0,0,0,0
Sweden,1979,380,608,1,1,1,0,2,1,2,2,0,2
Switzerland,1979,225,611,0,1,0,2,1,0,0,0,0,0
Syria,1979,652,614,1,0,0,1,1,0,0,0,0,0
Tanzania,1979,510,623,.,.,.,.,.,.,.,.,.,.
Thailand,1979,800,626,.,.,.,.,.,.,.,.,.,.
Togo,1979,461,629,0,0,0,0,0,0,0,0,0,0
Trinidad,1979,52,635,1,1,1,1,1,0,1,1,1,0
Tunisia,1979,616,638,1,1,1,1,0,0,0,0,0,0
Turkey,1979,640,641,1,1,1,1,0,1,1,1,0,2
Uganda,1979,500,650,1,1,1,0,1,0,1,1,1,1
UAE,1979,696,656,1,0,1,0,0,0,0,0,1,1
United Kingdom,1979,200,659,.,.,.,.,.,.,.,.,.,.
United States,1979,2,662,2,0,1,2,2,0,1,2,2,0
Uruguay,1979,165,665,0,0,0,0,0,0,0,0,0,0
Venezuela,1979,101,674,1,1,1,0,1,1,1,0,0,0
Vietnam,1979,816,677,1,1,1,1,1,0,0,1,0,0
Yemen,1979,679,683,0,0,0,0,0,0,0,0,0,0
Yugoslavia,1979,345,689,1,1,1,1,1,0,1,1,0,0
Zambia,1979,551,695,1,1,1,0,1,0,1,1,2,2
"Germany, East",1979,265,.,1,1,1,0,0,0,1,0,0,0
Afghanistan,1980,700,101,1,1,1,0,1,0,0,0,0,2
Albania,1980,339,104,0,0,0,0,0,0,0,1,0,0
Algeria,1980,615,107,0,1,0,0,1,1,0,0,0,0
Angola,1980,540,113,2,2,2,0,1,0,0,0,0,0
Argentina,1980,160,119,0,1,0,1,1,2,0,0,0,2
Australia,1980,900,125,0,0,0,0,0,0,0,0,0,0
Austria,1980,305,128,.,.,.,.,.,.,.,.,.,.
Bahamas,1980,31,134,1,1,1,0,1,0,2,1,2,2
Bahrain,1980,692,137,1,1,1,1,0,0,0,0,0,2
Bangladesh,1980,771,140,1,1,1,1,1,0,1,1,1,0
Barbados,1980,53,143,1,1,1,0,1,0,1,1,2,2
Belgium,1980,211,149,1,2,1,2,1,0,0,1,0,0
Benin,1980,434,155,0,0,0,0,0,0,0,0,0,0
Bhutan,1980,760,158,0,0,0,0,0,0,0,0,0,0
Bolivia,1980,145,161,1,1,1,0,0,0,2,2,0,2
Botswana,1980,571,167,1,1,1,0,1,0,2,0,2,2
Brazil,1980,140,170,.,.,.,.,.,.,.,.,.,.
Bulgaria,1980,355,176,1,1,1,1,1,0,0,1,0,0
Burkina Faso,1980,439,179,0,0,0,0,0,0,0,0,0,0
Myanmar,1980,775,182,1,1,1,1,1,0,2,0,0,0
Burundi,1980,516,185,0,0,0,0,0,0,0,0,0,0
Cambodia,1980,811,188,0,0,0,0,0,0,0,0,0,0
Cameroon,1980,471,191,1,1,1,1,1,0,0,0,1,0
Canada,1980,20,194,0,0,0,0,0,0,0,0,0,0
Cape Verde Islands,1980,402,197,0,0,0,0,0,0,0,0,0,0
Central African Republic,1980,482,200,.,.,.,.,.,.,.,.,.,.
Chad,1980,483,203,0,0,0,0,0,0,0,0,0,0
Chile,1980,155,206,1,1,1,1,1,0,2,0,0,2
China,1980,710,209,1,1,1,1,1,1,0,1,0,0
Colombia,1980,100,212,0,0,1,0,0,1,2,0,0,0
Comoros,1980,581,215,1,1,1,1,0,1,0,1,0,2
Congo Kinshasa,1980,490,218,1,1,0,0,1,1,0,1,0,1
Congo Brazzaville,1980,484,221,0,0,0,0,0,0,0,0,0,0
Costa Rica,1980,94,224,1,1,1,0,1,1,2,0,0,0
Cote d'Ivoire,1980,437,227,0,0,0,0,0,0,0,0,0,0
Cuba,1980,40,233,1,1,0,1,0,0,0,0,0,0
Cyprus,1980,352,236,1,1,1,1,1,1,2,1,2,2
Czechoslovakia,1980,315,242,0,0,0,0,0,0,0,0,0,0
Denmark,1980,390,245,1,1,1,1,0,0,1,2,0,0
Djibouti,1980,522,248,0,0,0,0,0,0,0,0,0,0
Dominica,1980,56,251,1,1,1,0,1,0,2,0,0,2
Dominican Republic,1980,42,254,1,1,0,1,1,1,1,1,1,1
Ecuador,1980,130,260,.,.,.,.,.,.,.,.,.,.
Egypt,1980,651,263,2,1,1,0,2,0,0,1,0,2
El Salvador,1980,92,266,1,1,1,0,1,1,2,0,0,0
Equatorial Guinea,1980,411,269,1,1,1,0,1,0,1,1,0,1
Ethiopia,1980,530,278,0,0,0,0,0,0,0,0,0,0
Fiji,1980,950,281,1,1,1,0,1,0,1,1,1,1
Finland,1980,375,284,1,1,1,1,2,0,0,0,0,0
France,1980,220,287,0,0,0,0,0,0,0,0,0,0
Gabon,1980,481,290,0,1,0,0,1,0,0,0,0,0
Gambia,1980,420,293,1,1,1,0,1,0,1,1,1,1
Germany,1980,255,299,1,1,1,1,2,0,2,0,0,0
Ghana,1980,452,302,0,0,0,0,0,0,0,0,0,0
Greece,1980,350,305,1,1,1,0,1,1,2,1,0,2
Grenada,1980,55,308,0,0,0,0,0,0,0,0,0,0
Guatemala,1980,90,311,1,0,1,0,1,1,1,1,0,1
Guinea,1980,438,314,1,1,1,1,0,1,0,0,0,0
Guinea-Bissau,1980,404,317,1,1,1,1,1,0,0,0,0,0
Guyana,1980,110,320,1,1,1,0,1,0,2,1,1,2
Haiti,1980,41,323,1,1,0,0,1,0,2,1,0,2
Honduras,1980,91,326,2,1,2,2,1,0,2,0,0,2
Hungary,1980,310,329,0,0,0,0,0,0,0,0,0,0
Iceland,1980,395,332,1,1,1,1,1,0,2,0,0,0
India,1980,750,335,1,1,1,0,1,0,0,0,0,0
Indonesia,1980,850,338,1,0,1,1,1,0,0,0,0,0
Iran,1980,630,341,0,0,0,0,0,0,1,1,0,1
Iraq,1980,645,344,0,0,0,0,1,0,0,0,0,2
Ireland,1980,205,347,1,0,1,0,1,0,2,1,0,0
Israel,1980,666,350,0,0,0,0,0,0,0,0,0,0
Italy,1980,325,353,1,1,1,1,1,1,0,0,0,0
Jamaica,1980,51,356,1,1,1,0,1,0,1,1,1,1
Japan,1980,740,359,1,1,1,1,1,0,1,1,1,2
Jordan,1980,663,362,0,0,0,0,0,0,0,1,0,0
Kenya,1980,501,368,1,1,1,0,1,0,1,1,1,1
"Korea, North",1980,731,374,.,.,.,.,.,.,.,.,.,.
"Korea, South",1980,732,377,1,0,0,1,1,0,1,1,0,1
Kuwait,1980,690,380,1,1,1,1,0,0,0,1,0,1
Laos,1980,812,386,0,0,0,0,0,0,0,0,0,0
Lebanon,1980,660,392,0,0,0,0,1,0,0,0,0,0
Lesotho,1980,570,395,0,0,0,0,0,0,0,0,0,0
Liberia,1980,450,398,0,0,0,0,0,0,0,0,0,0
Libya,1980,620,401,0,0,0,0,0,0,0,0,0,0
Luxembourg,1980,212,410,1,0,1,1,1,0,0,1,0,0
Madagascar,1980,580,416,0,0,0,0,0,0,0,0,0,0
Malawi,1980,553,419,0,0,0,0,0,0,0,0,0,0
Malaysia,1980,820,422,0,0,0,0,0,0,0,0,0,0
Maldives,1980,781,425,0,0,0,0,0,0,0,0,0,0
Mali,1980,432,428,0,0,0,0,0,0,0,0,0,0
Malta,1980,338,431,1,1,1,0,1,0,1,1,1,0
Mauritania,1980,435,437,0,0,0,0,0,0,0,0,0,0
Mauritius,1980,590,440,1,1,1,0,1,0,1,1,1,1
Mexico,1980,70,443,1,1,1,1,1,0,1,2,0,2
Mongolia,1980,712,455,1,1,1,1,0,0,0,1,0,0
Morocco,1980,600,461,1,1,1,0,2,1,0,0,0,0
Mozambique,1980,541,464,0,0,0,0,0,0,0,0,0,0
Nepal,1980,790,473,1,1,1,0,1,0,1,0,0,0
Netherlands,1980,210,476,.,.,.,.,.,.,.,.,.,.
New Zealand,1980,920,479,0,0,0,0,0,0,0,0,0,0
Nicaragua,1980,93,482,0,0,0,0,0,0,0,0,0,0
Niger,1980,436,485,0,0,0,0,0,0,0,0,0,0
Nigeria,1980,475,488,1,1,1,0,1,0,1,1,1,2
Norway,1980,385,491,2,0,0,1,0,0,0,0,0,2
Oman,1980,698,494,0,0,0,0,0,0,0,0,0,0
Pakistan,1980,770,497,1,1,1,1,1,0,1,0,0,2
Panama,1980,95,503,1,1,1,0,1,1,2,2,0,0
Papua New Guinea,1980,910,506,1,1,1,1,1,0,0,0,1,1
Paraguay,1980,150,509,1,1,1,0,1,1,2,0,0,2
Peru,1980,135,512,1,1,1,1,1,1,1,1,0,1
Philippines,1980,840,515,.,.,.,.,.,.,.,.,.,.
Poland,1980,290,515,0,0,0,0,0,0,0,1,0,0
Portugal,1980,235,521,1,1,1,1,1,1,1,1,0,1
Qatar,1980,694,524,0,0,0,1,0,0,0,2,0,0
Romania,1980,360,527,1,1,1,1,1,0,0,0,0,0
Russia,1980,365,530,0,0,0,0,1,0,0,1,0,0
Rwanda,1980,517,533,1,1,1,0,1,1,0,1,0,0
St. Lucia,1980,59,539,1,1,1,0,1,0,1,1,1,1
St. Vincent & Grenadines,1980,57,542,1,1,1,0,1,0,1,1,1,1
Samoa,1980,990,545,1,1,1,0,1,0,1,1,2,2
Sao Tome & Principe,1980,403,551,1,1,1,1,1,1,1,1,0,1
Saudi Arabia,1980,670,554,0,0,0,0,0,0,0,0,0,0
Senegal,1980,433,557,1,1,0,0,1,1,0,0,0,0
Seychelles,1980,591,566,0,0,0,0,0,0,0,0,0,0
Sierra Leone,1980,451,569,1,1,1,0,1,0,1,1,1,1
Singapore,1980,830,572,1,1,1,0,1,0,0,0,0,0
Solomon Islands,1980,940,581,1,1,1,0,1,0,1,1,1,1
Somalia,1980,520,584,1,0,1,1,1,0,1,0,0,2
South Africa,1980,560,587,.,.,.,.,.,.,.,.,.,.
Spain,1980,230,593,1,1,1,0,1,1,1,1,0,1
Sri Lanka,1980,780,596,1,1,1,1,1,0,1,1,0,0
Sudan,1980,625,599,1,1,1,1,1,0,1,1,1,1
Suriname,1980,115,602,0,0,0,0,0,0,0,0,0,0
Swaziland,1980,572,605,0,0,0,0,0,0,0,0,0,0
Sweden,1980,380,608,1,1,1,0,2,1,2,2,0,2
Switzerland,1980,225,611,0,1,0,2,1,0,0,0,0,0
Syria,1980,652,614,1,0,0,1,1,0,0,0,0,0
Tanzania,1980,510,623,.,.,.,.,.,.,.,.,.,.
Thailand,1980,800,626,.,.,.,.,.,.,.,.,.,.
Togo,1980,461,629,0,0,0,0,0,0,0,0,0,0
Trinidad,1980,52,635,1,1,1,1,1,0,1,1,1,0
Tunisia,1980,616,638,1,1,1,1,0,0,0,0,0,0
Turkey,1980,640,641,1,1,1,1,0,1,1,1,0,2
Uganda,1980,500,650,1,1,1,0,1,0,1,1,1,1
UAE,1980,696,656,1,0,1,0,0,0,0,0,1,1
United Kingdom,1980,200,659,.,.,.,.,.,.,.,.,.,.
United States,1980,2,662,2,0,1,2,2,0,1,2,2,0
Uruguay,1980,165,665,0,0,0,0,0,0,0,0,0,0
Vanuatu,1980,935,671,1,1,1,0,0,0,0,0,1,0
Venezuela,1980,101,674,1,1,1,0,1,1,1,0,0,0
Vietnam,1980,816,677,1,1,1,1,1,0,0,1,0,0
Yemen,1980,679,683,0,0,0,0,0,0,0,0,0,0
Yugoslavia,1980,345,689,1,1,1,1,1,0,1,1,0,0
Zambia,1980,551,695,1,1,1,0,1,0,1,1,2,2
Zimbabwe,1980,552,698,1,1,1,0,1,0,2,1,2,2
"Germany, East",1980,265,.,1,1,1,0,0,0,1,0,0,0
Afghanistan,1981,700,101,1,1,1,0,1,0,0,0,0,2
Albania,1981,339,104,0,0,0,0,0,0,0,1,0,0
Algeria,1981,615,107,0,1,0,0,1,1,0,0,0,0
Angola,1981,540,113,2,2,2,0,1,0,0,0,0,0
Argentina,1981,160,119,0,1,0,1,1,2,0,0,0,2
Australia,1981,900,125,0,0,0,0,0,0,0,0,0,0
Austria,1981,305,128,.,.,.,.,.,.,.,.,.,.
Bahamas,1981,31,134,1,1,1,0,1,0,2,1,2,2
Bahrain,1981,692,137,1,1,1,1,0,0,0,0,0,2
Bangladesh,1981,771,140,1,1,1,1,1,0,1,1,1,0
Barbados,1981,53,143,1,1,1,0,1,0,1,1,2,2
Belgium,1981,211,149,1,2,1,2,1,0,0,1,0,0
Belize,1981,80,152,1,1,1,0,1,0,2,0,2,2
Benin,1981,434,155,0,0,0,0,0,0,0,0,0,0
Bhutan,1981,760,158,0,0,0,0,0,0,0,0,0,0
Bolivia,1981,145,161,1,1,1,0,0,0,2,2,0,2
Botswana,1981,571,167,1,1,1,0,1,0,2,0,2,2
Brazil,1981,140,170,.,.,.,.,.,.,.,.,.,.
Bulgaria,1981,355,176,1,1,1,1,1,0,0,1,0,0
Burkina Faso,1981,439,179,0,0,0,0,0,0,0,0,0,0
Myanmar,1981,775,182,1,1,1,1,1,0,2,0,0,0
Burundi,1981,516,185,0,0,0,0,0,0,0,0,0,0
Cambodia,1981,811,188,0,0,0,0,0,0,0,0,0,0
Cameroon,1981,471,191,1,1,1,1,2,0,0,0,2,0
Canada,1981,20,194,0,0,0,0,0,0,0,0,0,0
Cape Verde Islands,1981,402,197,1,1,1,0,1,0,0,0,0,1
Central African Republic,1981,482,200,1,1,1,1,1,0,0,0,0,1
Chad,1981,483,203,0,0,0,0,0,0,0,0,0,0
Chile,1981,155,206,1,1,1,1,1,0,2,0,0,2
China,1981,710,209,1,1,1,1,1,1,0,1,0,0
Colombia,1981,100,212,0,0,1,0,0,1,2,0,0,0
Comoros,1981,581,215,1,1,1,1,0,1,0,1,0,2
Congo Kinshasa,1981,490,218,1,1,0,0,1,1,0,1,0,1
Congo Brazzaville,1981,484,221,0,0,0,0,0,0,0,0,0,0
Costa Rica,1981,94,224,1,1,1,0,1,1,2,0,0,0
Cote d'Ivoire,1981,437,227,0,0,0,0,0,0,0,0,0,0
Cuba,1981,40,233,1,1,0,1,0,0,0,0,0,0
Cyprus,1981,352,236,1,1,1,1,1,1,2,1,2,2
Czechoslovakia,1981,315,242,0,0,0,0,0,0,0,0,0,0
Denmark,1981,390,245,1,1,1,1,0,0,1,2,0,0
Djibouti,1981,522,248,0,0,0,0,0,0,0,0,0,0
Dominica,1981,56,251,1,1,1,0,1,0,2,0,0,2
Dominican Republic,1981,42,254,1,1,0,1,1,1,1,1,1,1
Ecuador,1981,130,260,.,.,.,.,.,.,.,.,.,.
Egypt,1981,651,263,2,1,1,0,2,0,0,1,0,2
El Salvador,1981,92,266,1,1,1,0,1,1,2,0,0,0
Equatorial Guinea,1981,411,269,1,1,1,0,1,0,1,1,0,1
Ethiopia,1981,530,278,0,0,0,0,0,0,0,0,0,0
Fiji,1981,950,281,1,1,1,0,1,0,1,1,1,1
Finland,1981,375,284,1,1,1,1,2,0,0,0,0,0
France,1981,220,287,0,0,0,0,0,0,0,0,0,0
Gabon,1981,481,290,0,1,0,0,1,0,0,0,0,0
Gambia,1981,420,293,1,1,1,0,1,0,1,1,1,1
Germany,1981,255,299,1,1,1,1,2,0,2,0,0,0
Ghana,1981,452,302,0,0,0,0,0,0,0,0,0,0
Greece,1981,350,305,1,1,1,0,1,1,2,1,0,2
Grenada,1981,55,308,0,0,0,0,0,0,0,0,0,0
Guatemala,1981,90,311,1,0,1,0,1,1,1,1,0,1
Guinea,1981,438,314,1,1,0,1,0,0,0,0,0,0
Guinea-Bissau,1981,404,317,1,1,1,1,1,0,0,0,0,0
Guyana,1981,110,320,1,1,1,0,1,0,2,1,1,2
Haiti,1981,41,323,1,1,0,0,1,0,2,1,0,2
Honduras,1981,91,326,2,1,2,2,1,0,2,0,0,2
Hungary,1981,310,329,0,0,0,0,0,0,0,0,0,0
Iceland,1981,395,332,1,1,1,1,1,0,2,0,0,0
India,1981,750,335,1,1,1,0,1,0,0,0,0,0
Indonesia,1981,850,338,1,0,1,1,1,0,0,0,0,0
Iran,1981,630,341,0,0,0,0,0,0,1,1,0,1
Iraq,1981,645,344,0,0,0,0,1,0,0,0,0,2
Ireland,1981,205,347,1,0,1,0,1,0,2,1,0,0
Israel,1981,666,350,0,0,0,0,0,0,0,0,0,0
Italy,1981,325,353,1,1,1,1,1,1,0,0,0,0
Jamaica,1981,51,356,1,1,1,0,1,0,1,1,1,1
Japan,1981,740,359,1,1,1,1,1,0,1,1,1,2
Jordan,1981,663,362,0,0,0,0,0,0,0,1,0,0
Kenya,1981,501,368,1,1,1,0,1,0,1,1,1,1
"Korea, North",1981,731,374,.,.,.,.,.,.,.,.,.,.
"Korea, South",1981,732,377,1,0,0,1,1,0,1,1,0,1
Kuwait,1981,690,380,1,1,1,1,0,0,0,1,0,1
Laos,1981,812,386,0,0,0,0,0,0,0,0,0,0
Lebanon,1981,660,392,0,0,0,0,1,0,0,0,0,0
Lesotho,1981,570,395,0,0,0,0,0,0,0,0,0,0
Liberia,1981,450,398,0,0,0,0,0,0,0,0,0,0
Libya,1981,620,401,0,0,0,0,0,0,0,0,0,0
Luxembourg,1981,212,410,1,0,1,1,1,0,0,1,0,0
Madagascar,1981,580,416,0,0,0,0,0,0,0,0,0,0
Malawi,1981,553,419,0,0,0,0,0,0,0,0,0,0
Malaysia,1981,820,422,0,0,0,0,0,0,0,0,0,0
Maldives,1981,781,425,0,0,0,0,0,0,0,0,0,0
Mali,1981,432,428,0,0,0,0,0,0,0,0,0,0
Malta,1981,338,431,1,1,1,0,1,0,1,1,1,0
Mauritania,1981,435,437,0,0,0,0,0,0,0,0,0,0
Mauritius,1981,590,440,1,1,1,0,1,0,1,1,1,1
Mexico,1981,70,443,1,1,1,1,1,0,1,2,0,2
Mongolia,1981,712,455,1,1,1,1,0,0,0,1,0,0
Morocco,1981,600,461,1,1,1,0,2,1,0,0,0,0
Mozambique,1981,541,464,0,0,0,0,0,0,0,0,0,0
Nepal,1981,790,473,1,1,1,0,1,0,1,0,0,0
Netherlands,1981,210,476,.,.,.,.,.,.,.,.,.,.
New Zealand,1981,920,479,0,0,0,0,0,0,0,0,0,0
Nicaragua,1981,93,482,0,0,0,0,0,0,0,0,0,0
Niger,1981,436,485,0,0,0,0,0,0,0,0,0,0
Nigeria,1981,475,488,1,1,1,0,1,0,1,1,1,2
Norway,1981,385,491,2,0,0,1,0,0,0,0,0,2
Oman,1981,698,494,0,0,0,0,0,0,0,0,0,0
Pakistan,1981,770,497,1,1,1,1,1,0,1,0,0,2
Panama,1981,95,503,1,1,1,0,1,1,2,2,0,0
Papua New Guinea,1981,910,506,1,1,1,1,1,0,0,0,1,1
Paraguay,1981,150,509,1,1,1,0,1,1,2,0,0,2
Peru,1981,135,512,1,1,1,1,1,1,1,1,0,1
Philippines,1981,840,515,.,.,.,.,.,.,.,.,.,.
Poland,1981,290,518,0,0,0,0,0,0,0,1,0,0
Portugal,1981,235,521,1,1,1,1,1,1,1,1,0,1
Qatar,1981,694,524,0,0,0,1,0,0,0,2,0,0
